driver_code,driver_description,amount_m,included_in_locked_total,notes
C501,Base insurance underwriting capital,154.0,yes,undisputed
C502,Reserve risk and lapse stress update,18.0,yes,undisputed
C503,Longevity hedge basis and collateral overlay,20.0,yes,disputed module attribution
C504,Interest rate and spread stress update,92.0,yes,undisputed
C505,With-profits guarantee market-consistency overlay,15.0,yes,disputed module attribution
C506,Structured credit / CLO stress,31.0,yes,undisputed
C507,Reinsurance counterparty concentration stress,18.0,yes,disputed module attribution
C508,Broker collateral and settlement exposure,16.0,yes,disputed module attribution
C509,Operational risk charge,38.0,yes,undisputed base before Risk v6 reclass
C510,Tax loss absorbency and diversification allocation,53.0,yes,disputed allocation presentation
C511,Intercompany capital support recharge,0.0,eliminated,must not be treated as external capital
C512,Subordinated debt coupon true-up,0.0,yes,already reflected in own funds CAP_R4
TOTAL,Locked SCR total,455.0,yes,ties to CAP_R4
