review_ref,review_date,review_tab,metric_label,route_group,source_basis,period_label,numerator_value,denominator_value,display_value,display_unit,trend_marker,linked_refs,dashboard_note
W22-001,03/06/2025,quality_rollup,total_QA_rows_per_pack,FP1-A|FP2-A|FP3-A|FP4-A|FP5-A|FP6-A,baseline_export,baseline,988,242000,4.08,per_1000_packs,flat,BL-STD-001..BL-RGD-006,baseline pack-view rollup
W22-002,03/06/2025,quality_rollup,total_QA_rows_per_pack,FP1-A|FP2-A|FP3-A|FP4-A|FP5-A|FP6-A,MES_QPulse_join,pilot,1113,262000,4.25,per_1000_packs,red,MC-001..MC-036,slide view shows pack-rate lift
W22-003,03/06/2025,quality_rollup,total_QA_rows_movement,FP1-A|FP2-A|FP3-A|FP4-A|FP5-A|FP6-A,dashboard_calc,baseline_to_pilot,4.08,4.25,4.00%,pack_view_delta,red,W22-001|W22-002,rate movement shown on W22 slide
W22-004,03/06/2025,class_rollup,label_barcode_rows,FP1-A|FP2-A|FP3-A|FP4-A|FP5-A|FP6-A,baseline_export,baseline,769,242000,3.18,per_1000_packs,flat,BL-STD-001..BL-RGD-006,label and barcode baseline pack view
W22-005,03/06/2025,class_rollup,label_barcode_rows,FP1-A|FP2-A|FP3-A|FP4-A|FP5-A|FP6-A,MES_QPulse_join,pilot,817,262000,3.12,per_1000_packs,green,MC-001..MC-036,label and barcode pilot pack view
W22-006,03/06/2025,class_rollup,seal_tamper_rows,FP3-A|FP4-A|FP5-A|FP6-A,baseline_export,baseline,51,242000,0.21,per_1000_packs,flat,BL-EXP-003..BL-RGD-006,seal view shown against total packs
W22-007,03/06/2025,class_rollup,seal_tamper_rows,FP3-A|FP4-A|FP5-A|FP6-A,MES_QPulse_join,pilot,69,262000,0.26,per_1000_packs,amber,MC-013..MC-036,seal view shown against total packs
W22-008,03/06/2025,class_rollup,insert_accessory_rows,FP3-A|FP4-A|FP5-A|FP6-A,baseline_export,baseline,168,242000,0.69,per_1000_packs,flat,BL-EXP-003..BL-RGD-006,insert and accessory baseline pack view
W22-009,03/06/2025,class_rollup,insert_accessory_rows,FP3-A|FP4-A|FP5-A|FP6-A,MES_QPulse_join,pilot,227,262000,0.87,per_1000_packs,amber,MC-013..MC-036,insert and accessory pilot pack view
W22-010,03/06/2025,customer_rollup,mature_service_pull,FP1-A|FP2-A|FP3-A|FP4-A|FP5-A|FP6-A,customer_cases,baseline,12,242000,0.05,per_1000_packs,flat,CR-BL-001..CR-BL-012,baseline service pull mature row view
W22-011,03/06/2025,customer_rollup,mature_service_pull,FP1-A|FP2-A|FP3-A|FP4-A|FP5-A|FP6-A,customer_cases,pilot,12,244000,0.05,per_1000_packs,flat,CR-PIL-001..CR-PIL-012,pilot service pull mature row view
W22-012,03/06/2025,customer_rollup,received_week_plus_watch,FP1-A|FP2-A|FP3-A|FP4-A|FP5-A|FP6-A|FP5-X|FP8-T,customer_cases,pilot_received,16,244000,0.07,per_1000_packs,amber,CR-PIL-001..CR-WATCH-004,received week view with watch rows
W22-013,03/06/2025,customer_rollup,credit_repeat_rows,FP5-X|FP8-T,customer_credit,pilot_received,3,3,3,rows,watch,CR-CRD-001|CR-CRD-002|CR-CRD-003,credit rows shown separately in service tab
W22-014,03/06/2025,finance_bridge,claimed_pack_value,all_pack,finance_original,bridge,820000,1,820000,GBP,draft,FIN-001..FIN-008,original pack bridge total
W22-015,03/06/2025,finance_bridge,v3_working_value,all_pack,finance_v3,bridge,806000,1,806000,GBP,draft,FIN-001..FIN-008,v3 bridge before route notes closed
W22-016,03/06/2025,finance_bridge,distributor_rework_adjustment,FP1-A|FP2-A|FP3-A|FP4-A|FP5-A|FP6-A,finance_v3,bridge,48000,62000,-14000,GBP_delta,watch,FIN-003|CR-PIL-001..CR-PIL-012,case family cap applied in v3
W22-017,03/06/2025,finance_bridge,manual_recheck_labour,final_pack_support,old_recheck_export,bridge,54000,1,54000,GBP,amber,FIN-004|QA_weekly_notes_section_1,old recheck line still shown in bridge
W22-018,03/06/2025,finance_bridge,pallet_audit_staffing,route_table_staffing,standard_work_assumption,bridge,70000,1,70000,GBP,amber,FIN-005|19_standard_work_extract,pallet table assumption still visible
W22-019,03/06/2025,route_watch,FP6_MAIN_seal_review,FP6-A,QPulse_camera_join,W22_W23,1,1,QP-2556,case_ref,watch,QP-2556|EVT-F6-0521-014|OVR-025|OVR-026,highest scoring May seal prompt kept on review list
W22-020,03/06/2025,route_watch,FP6_NGT_count_gap,FP6-N,MES_camera_join,W21,48120,47310,810,pack_gap,watch,MC-042|EXC-F6N-0522-LENS,night run lens-clean count check
W22-021,03/06/2025,route_watch,FP6_REC_recovery_rows,FP6-R,recovery_sheet,W19_W20,13300,0,13300,rework_packs,watch,MC-043|MC-044|QP-2539,recovery sheet row shown beside FP-6
W22-022,03/06/2025,wave_view,FP5X_trial_rows,FP5-X,map_pending_view,W19_W21,11600,10940,660,pack_gap,amber,WT-006|WT-014|MC-037..MC-039|QP-2541|QP-2565,export trial branch beside FP5 map list
W22-023,03/06/2025,wave_view,FP8_trial_rows,FP8-T,trial_wave_view,W19_W21,16800,15810,990,pack_gap,red,WT-011|WT-015|MC-047|MC-048|QP-2515|QP-2529|QP-2553|QP-2568,trial carton line retained in wave view
W22-024,03/06/2025,supplier_view,FP7_label_batch_rows,FP7-A,supplier_notice,W19_W21,3,3,3,case_rows,watch,QP-2518|QP-2536|QP-2571|CR-SUP-001|CR-SUP-002|CR-SUP-003,supplier label batch family in service view
W22-025,03/06/2025,history_view,CAM_SCF_11_rows,FP3-A|FP4-A,camera_history,W22_pull,4,4,4,rows,watch,CAM-SCF-11|RAW-F3-0508-S|RAW-F4-0519-S|RAW-CAL-0510-S|RAW-CAL-0511-S,old scuff history rows still visible
W22-026,03/06/2025,ops_view,override_rows_total,all_pack,override_extract,W22_pull,40,40,40,rows,amber,OVR-001..OVR-040,override extract mixed table and prompt rows
W22-027,03/06/2025,ops_view,open_QPulse_rows,W22_W23,QPulse_export,W22_W23,10,43,23.3,percent,watch,QP-2564..QP-2582,late rows still open in export pull
W22-028,03/06/2025,summary_slide,slide_wording,next_quarter_rollout,management_pack,W22_pack,1,1,continue_wave,phrase,draft,all_tabs,wording copied from draft slide footer
