exception_id,item_ref,description,amount_m,finance_v5_treatment,risk_v6_or_control_treatment,board_pack_treatment_today,blocks_pack,owner_and_next_step
EX01,C503,Longevity hedge basis and collateral overlay - module classification disputed,20.0,Insurance underwriting (origin of exposure),Market (current-year increase driven by market basis / collateral stress),Shown in Insurance underwriting per Finance v5 working view; Risk v6 alternative shown alongside; swings underwriting movement +8.0 to -12.0 and Market +9.0 to +29.0 - changes the movement story,No - total SCR unaffected,Finance Control + Capital Risk to resolve in combined approval CAP_ATTRIB_Q4_COMBINED_APPROVAL_v7.pdf
EX02,C509/C510,Model governance overlay - Operational vs Other/diversification presentation,4.0,Left inside Other / diversification allocation (Operational 38.0),Included in Operational risk (Operational 42.0; Other 49.0),Finance v5 working view used; Risk v6 alternative shown alongside,No - total SCR unaffected,Resolve in combined approval v7
EX03,C510,Tax loss absorbency and diversification allocation - presentation not jointly approved,53.0 (v5) / 49.0 (v6),Single Other/diversification line of 53.0,49.0 after moving 4.0m overlay to Operational,Amount locked in CAP_R4 total; module presentation labelled NOT FINAL,No,Resolve in combined approval v7
EX04,Approval,Combined approval CAP_ATTRIB_Q4_COMBINED_APPROVAL_v7.pdf expected 15 Jan but not in folder,n/a,Finance v5 signed by Finance only (12 Jan),Risk v6 signed by Risk only (13 Jan),Module attribution presented as WORKING VIEW per Finance Director pack-freeze instruction; must not be described as final module-level attribution,No - but attribution cannot be called final until received,Finance Change Manager to chase combined approval before board sign-off
EX05,File 09,Management candidate table overstates status and is incomplete,n/a,"Modules flagged ""Ready""; MCR and MCR coverage rows missing",Control rule 2-3: module attribution needs combined approval; instructions require MCR rows,"""Ready"" flags replaced with WORKING VIEW - NOT FINAL; MCR 168.0 and MCR coverage 382.14% added from locked CAP_R4",No,Finance to correct source table for final pack
EX06,LC01,January asset de-risking trade (5 Jan 2026) proposed to reduce FY2025 Market SCR,12.0,Proposed: reduce Market SCR in FY2025 table,Control: exclude from locked 31 Dec CAP_R4; disclose only if needed,EXCLUDED from board table; may be noted as a post-year-end event only - kept separate from the 31 Dec position,No,Treasury/ALM to cover in post-year-end events note if Board wants it
EX07,LC02,Subordinated debt coupon true-up (30 Dec 2025) proposed to increase own funds again,3.0,Proposed: add to own funds,Control: already included in CAP_R4 own funds - no action,NOT double counted; own funds stay at locked 642.0,No,None - closed
EX08,LC03,January model recalibration run (8 Jan 2026) proposed as revised SCR split,9.0,Proposed: use recalibrated split,Control: exclude - post-year-end and unsigned,EXCLUDED from board table and from attribution,No,Capital Risk may use in FY2026 opening discussions only
EX09,LC04,Intercompany capital-support recharge (10 Jan 2026) proposed as capital support movement,6.0,Proposed: show as capital support movement,Control: intercompany - eliminated to nil; not external capital,EXCLUDED; own funds and movement commentary exclude intercompany support per control rule 6; kept separate throughout,No,None - closed
EX10,Wording,Dividend-capacity / capital-distribution statement used in draft commentary,n/a,"Draft says ""no dividend-capacity concerns""",Treasury: Treasury_Capital_Distribution_FY2025_signed.pdf not filed,REMOVED from pack wording; no dividend-capacity statement until signed,Yes - for that wording only (not for the table),Treasury to file signed review
EX11,Wording,"""Capital target achieved"" (141.10% vs 140%) used as final conclusion",n/a,Draft quotes target achievement,Board Risk Committee FY2025 capital target note not signed; Q3 note must not be quoted,Ratio 141.10% and 1.40 policy target shown as facts/context only; no achievement conclusion,Yes - for that wording only,BRC to sign FY2025 capital target note
EX12,Wording,"""Bonus scorecard condition satisfied"" used in draft commentary",n/a,Draft confirms bonus condition,RemCo support has not signed; depends on final attribution and dividend review,REMOVED from pack wording,Yes - for that wording only,RemCo support to sign scorecard conclusion
EX13,Wording,"""No solvency concerns"" and ""Finance v5 table is ready for board approval"" in draft commentary",n/a,Draft asserts both,Control rule 8: no final solvency / no-concerns wording without signed review; attribution approval missing,REMOVED; replaced with factual locked ratios and WORKING VIEW labels,Yes - for that wording only,Replace with capital_close_note.md wording
