section,line_item,FY2025_finance_v5_working,FY2024_signed,movement_vs_FY2024,share_of_SCR_FY2025,status,risk_v6_alternative,risk_v6_vs_v5,comment
A. Capital position (locked CAP_R4),Eligible own funds (GBP m),642.0,615.0,+27.0,n/a,FINAL - locked CAP_R4,642.0,0.0,After elimination of intercompany capital-support recharge; Tier 1 512.0m + Tier 2 130.0m per support schedule
A. Capital position (locked CAP_R4),Total SCR (GBP m),455.0,438.0,+17.0,100.00%,FINAL - locked CAP_R4,455.0,0.0,Total is locked and agreed by both functions; module split below is NOT final
A. Capital position (locked CAP_R4),MCR (GBP m),168.0,164.0,+4.0,n/a,FINAL - locked CAP_R4,168.0,0.0,Added from CAP_R4; row was missing from the management candidate table
A. Capital position (locked CAP_R4),SCR coverage ratio,141.10%,140.41%,+0.69 pts,n/a,FINAL - locked CAP_R4,141.10%,0.00 pts,642.0 / 455.0; ratio is a locked fact - target/dividend/bonus conclusions are NOT signed (see section C)
A. Capital position (locked CAP_R4),MCR coverage ratio,382.14%,375.00%,+7.14 pts,n/a,FINAL - locked CAP_R4,382.14%,0.00 pts,642.0 / 168.0; added from CAP_R4; row was missing from the management candidate table
B. SCR attribution by risk module (Finance v5),Insurance underwriting (GBP m),192.0,184.0,+8.0,42.20%,WORKING VIEW - NOT FINAL,172.0,-20.0,Includes disputed C503 longevity hedge overlay 20.0m; Risk v6 classifies C503 as Market; movement flips from +8.0 to -12.0 under v6
B. SCR attribution by risk module (Finance v5),Market (GBP m),138.0,129.0,+9.0,30.33%,WORKING VIEW - NOT FINAL,158.0,+20.0,Under Risk v6 (C503 in Market) movement becomes +29.0 and Market is the dominant driver of SCR growth
B. SCR attribution by risk module (Finance v5),Counterparty credit (GBP m),34.0,49.0,-15.0,7.47%,WORKING VIEW - NOT FINAL,34.0,0.0,Same amount in both views; still requires combined Finance Control + Capital Risk approval to be final
B. SCR attribution by risk module (Finance v5),Operational (GBP m),38.0,36.0,+2.0,8.35%,WORKING VIEW - NOT FINAL,42.0,+4.0,Risk v6 moves a 4.0m model governance overlay into Operational (movement +6.0 under v6)
B. SCR attribution by risk module (Finance v5),Other / diversification allocation (GBP m),53.0,40.0,+13.0,11.65%,WORKING VIEW - NOT FINAL,49.0,-4.0,Tax loss absorbency / diversification presentation not jointly approved; v6 nets out the 4.0m operational overlay
B. SCR attribution by risk module (Finance v5),Total SCR - attribution check (GBP m),455.0,438.0,+17.0,100.00%,TIES TO LOCKED CAP_R4,455.0,0.0,Both Finance v5 and Risk v6 reconcile exactly to the locked total SCR; only the module split differs
C. Wording status (separate - not part of capital figures),Dividend-capacity / capital-distribution statement,not stated,n/a,n/a,n/a,NOT SIGNED - DO NOT USE,not stated,n/a,Treasury_Capital_Distribution_FY2025_signed.pdf not filed; no dividend-capacity wording in pack
C. Wording status (separate - not part of capital figures),Capital target conclusion (140% policy target),not stated,n/a,n/a,n/a,NOT SIGNED - DO NOT USE,not stated,n/a,Board Risk Committee FY2025 capital target note not signed; ratio vs 1.40 policy target may be shown as context only - no "target achieved" wording
C. Wording status (separate - not part of capital figures),Solvency "no concerns" statement,not stated,n/a,n/a,n/a,NOT SIGNED - DO NOT USE,not stated,n/a,Depends on unsigned FY2025 reviews; report locked coverage ratios as facts only
C. Wording status (separate - not part of capital figures),Bonus scorecard condition,not stated,n/a,n/a,n/a,NOT SIGNED - DO NOT USE,not stated,n/a,RemCo_Capital_Scorecard_FY2025_signed.pdf not filed; bonus wording depends on final attribution and dividend-capacity review
