exception_id,area,driver_or_ref,amount_m,issue,finance_v5_treatment,risk_v6_or_control_treatment,effect_on_board_table,blocks_pack,status_and_action
EX-01,SCR module attribution,C503 longevity hedge basis & collateral overlay,20.0,Module classification disputed; combined approval not received,Insurance underwriting (origin of exposure),Market (current-year increase driven by market basis/collateral stress),Swings 20.0m between Underwriting and Market; flips Underwriting movement from +8.0m (v5) to -12.0m (v6) and Market from +9.0m to +29.0m. Total SCR and coverage unchanged.,No,OPEN - present v5 as working view with v6 alternative shown; resolve via CAP_ATTRIB_Q4_COMBINED_APPROVAL_v7.pdf
EX-02,SCR module attribution,C509/C510 model governance overlay,4.0,Overlay presentation disputed: Operational vs Other/diversification,Left in Other / diversification allocation (Operational 38.0),Shown in Operational risk (Operational 42.0; Other 49.0),Swings 4.0m between Operational and Other/diversification. Total SCR and coverage unchanged.,No,OPEN - same combined approval; label Operational and Other rows not final
EX-03,SCR module attribution,C510 tax loss absorbency & diversification allocation,53.0 (v5) / 49.0 (v6),Total locked in CAP_R4 but module presentation of the allocation not jointly approved,53.0 in Other / diversification,49.0 after moving 4.0m overlay to Operational,Presentation only; linked to EX-02,No,OPEN - combined approval outstanding
EX-04,SCR module attribution,C507 reinsurance concentration / C508 broker collateral,18.0 / 16.0,"Flagged 'disputed module attribution' in locked CAP_R4 detail, but Finance v5 and Risk v6 both classify as Counterparty credit with identical amounts",Counterparty credit 34.0,Counterparty credit 34.0 (identical),No numerical difference between the two views; dispute flag should be cleared or explained in combined approval,No,OPEN (low) - confirm at combined sign-off
EX-05,Approval evidence,CAP_ATTRIB_Q4_COMBINED_APPROVAL_v7.pdf,n/a,Required combined Finance Control + Capital Risk approval for board module attribution not in folder (expected 15 Jan),v5 signed by Finance only (12 Jan 2026),v6 signed by Risk only (13 Jan 2026),Module attribution rows cannot be labelled final; totals/coverage unaffected (locked),No - working-view label per pack-freeze instruction,OPEN - chase approval before final pack
EX-06,Cutoff - post-year-end,LC01 Jan asset de-risking trade (05-Jan-2026),12.0,Proposed reduction of FY2025 Market SCR rejected - post-year-end management action,Correctly excluded from board table,Control: exclude from locked 31 Dec CAP_R4; disclose only if needed,None - verified not in either view,No,RESOLVED - excluded
EX-07,Cutoff - double count risk,LC02 subordinated debt coupon true-up (30-Dec-2025),3.0,Proposed second add to own funds rejected - already included in CAP_R4 own funds,Correctly not double counted (own funds 642.0 = CAP_R4),Control rule 7: no action,None - verified,No,RESOLVED - no double count
EX-08,Cutoff - post-year-end,LC03 Jan model recalibration run (08-Jan-2026),9.0,Proposed use of recalibrated SCR split rejected - post-year-end and unsigned,Correctly excluded,Control rule 5: exclude,None - verified,No,RESOLVED - excluded
EX-09,Intercompany capital support,LC04 intercompany capital-support recharge (10-Jan-2026),6.0,"Proposed 'capital support movement' presentation rejected - intercompany, eliminated to nil in external own funds",Correctly excluded (C511 = 0.0 eliminated),Control rule 6: eliminate from external own funds and SCR movement commentary,None - verified; keep out of movement commentary,No,RESOLVED - eliminated; do not reintroduce in commentary
EX-10,Board wording - dividend capacity,Treasury_Capital_Distribution_FY2025_signed.pdf,n/a,FY2025 dividend-capacity / capital-distribution review not signed (Treasury confirms),Draft commentary asserts 'no dividend-capacity concerns',Control rule 8: no final dividend-capacity wording until signed file received,Wording must be removed/replaced in board pack; numbers unaffected,"Blocks the WORDING only, not the table",OPEN - use neutral factual wording; await signed review
EX-11,Board wording - capital target,BoardRiskCommittee_Capital_Target_FY2025_signed.pdf,n/a,FY2025 BRC capital target conclusion not signed; Q3 note must not be quoted as FY2025 final,Draft commentary asserts 'above the 140% capital target... capital target achieved',Control rule 8: state arithmetic fact only (141.10% vs 140% policy threshold),"Wording must be recut; 1.10 pts / ~5.0m headroom over 1.40x is thin - conclusion is for BRC, not the pack",Blocks the WORDING only,"OPEN - factual comparison only, labelled"
EX-12,Board wording - solvency conclusion,Draft board commentary (file 15),n/a,"'Capital position is therefore adequate, no solvency concerns' and 'Finance v5 table is ready for board approval' not supported by folder evidence",Management draft,"Control rule 8 + rule 3: no 'no concerns' wording without signed review; v5 is a working view, not approved-final",Commentary must be replaced with note wording,Blocks the WORDING only,OPEN - replacement wording provided in capital_close_note.md
EX-13,Board wording - bonus,RemCo_Capital_Scorecard_FY2025_signed.pdf,n/a,RemCo support has not signed the bonus scorecard conclusion (depends on final attribution and dividend-capacity review),Draft commentary asserts 'capital target achievement supports the FY2025 bonus scorecard',Control rule 8: no bonus wording until signed,Remove bonus sentence entirely from board pack,Blocks the WORDING only,OPEN - remove; await RemCo sign-off
