section,line_item,FY2025_finance_v5_working_m,FY2025_risk_v6_alt_m,FY2024_signed_m,movement_v5_m,movement_v6_m,pct_of_SCR_v5,pct_of_SCR_v6,status_label,source
Capital position,Eligible own funds,642.0,642.0,615.0,27.0,27.0,,,FINAL - locked CAP_R4,04 CAP_R4 control total (same under both views)
Capital position,  of which Tier 1 own funds,512.0,512.0,,,,,,Locked support schedule only,11 denominators support
Capital position,  of which Tier 2 own funds,130.0,130.0,,,,,,Locked support schedule only,11 denominators support
Capital position,Total SCR,455.0,455.0,438.0,17.0,17.0,100.00%,100.00%,FINAL - locked CAP_R4,04 CAP_R4 control total (same under both views)
Capital position,MCR,168.0,168.0,164.0,4.0,4.0,,,FINAL - locked CAP_R4,04 CAP_R4 control total
Coverage ratios,SCR coverage ratio,141.10%,141.10%,140.41%,+0.69 pts,+0.69 pts,,,FINAL - locked CAP_R4 (642.0 / 455.0),04 CAP_R4; unaffected by attribution dispute
Coverage ratios,MCR coverage ratio,382.14%,382.14%,375.00%,+7.14 pts,+7.14 pts,,,FINAL - locked CAP_R4 (642.0 / 168.0),04 CAP_R4; unaffected by attribution dispute
SCR attribution by risk module,Insurance underwriting,192.0,172.0,184.0,8.0,-12.0,42.20%,37.80%,WORKING VIEW - NOT FINAL (combined Finance/Risk approval v7 pending),06 Finance v5 / 07 Risk v6; difference = C503 hedge overlay 20.0m
SCR attribution by risk module,Market,138.0,158.0,129.0,9.0,29.0,30.33%,34.73%,WORKING VIEW - NOT FINAL (combined Finance/Risk approval v7 pending),06 Finance v5 / 07 Risk v6; difference = C503 hedge overlay 20.0m
SCR attribution by risk module,Counterparty credit,34.0,34.0,49.0,-15.0,-15.0,7.47%,7.47%,WORKING VIEW - NOT FINAL (combined Finance/Risk approval v7 pending); v5 and v6 agree on this module,06 / 07 (C507+C508)
SCR attribution by risk module,Operational,38.0,42.0,36.0,2.0,6.0,8.35%,9.23%,WORKING VIEW - NOT FINAL (combined Finance/Risk approval v7 pending),06 / 07; difference = 4.0m model governance overlay
SCR attribution by risk module,Other / diversification allocation,53.0,49.0,40.0,13.0,9.0,11.65%,10.77%,WORKING VIEW - NOT FINAL (combined Finance/Risk approval v7 pending),06 / 07; difference = 4.0m model governance overlay
SCR attribution by risk module,Total SCR (check - ties both views),455.0,455.0,438.0,17.0,17.0,100.00%,100.00%,FINAL - locked CAP_R4,Both attribution views tie to CAP_R4 total SCR
Policy context (not a conclusion),SCR coverage vs 140% policy target,141.10% vs 140.0% policy threshold,same,,,,,,FACTUAL COMPARISON ONLY - 'capital target achieved' conclusion NOT signed (BRC FY2025 note outstanding),11 policy threshold; 14 control notes
Intercompany capital support,Intercompany capital-support recharge,0.0 (eliminated),0.0 (eliminated),,,,,,Eliminated from external own funds per control rule 6; Jan-2026 6.0m recharge excluded,05 C511; 13 LC04
Post-year-end items (excluded),Jan asset de-risking trade / Jan model recalibration,excluded from 31 Dec position,excluded,,,,,,Not in FY2025 table per control rule 5 (LC01 12.0m; LC03 9.0m),13 cutoff log
